"","Acadi","American Samo","Arche","Badland","Big Ben","Biscayn","Black Canyon of the Gunniso","Bryce Canyo","Canyonland","Capitol Ree","Carlsbad Caverns","Channel Island","Congare","Crater Lak","Cuyahoga Valle","Death Valle","Denal","Dry Tortuga","Everglade","Gates of the Arcti","Gateway Arc","Glacie","Glacier Ba","Grand Canyon","Grand Teto","Great Basi","Great Sand Dune","Great Smoky Mountain","Guadalupe Mountain","Haleakal","Hawaiʻi Volcanoe","Hot Spring","Isle Royal","Joshua Tre","Katma","Kenai Fjord","Kings Canyo","Kobuk Valle","Lake Clar","Lassen Volcani","Mammoth Cav","Mesa Verde","Mount Rainie","North Cascade","Olympi","Petrified Fores","Pinnacle","Redwood","Rocky Mountai","Saguar","Sequoi","Shenandoa","Theodore Roosevel","Virgin Island","Voyageur","Wind Cav","Wrangell–St. Elias","Yellowston","Yosemite","Zio"
"Carlsbad Caverns",3412.098190459,8720.93381700795,859.118377154033,1296.49026791432,343.19971700096,2476.72629962462,769.934457857742,926.574639992854,834.83851542016,906.803734746244,0,1412.00050063807,2214.06370536299,1958.75012452488,2270.02093712928,1225.85558641652,4711.35586342698,2267.63082661422,2412.56715932536,5042.69348724121,1477.1690824893,2012.91016604805,3809.86525647936,830.759383226604,1398.47859151797,1169.03834511795,624.506720160911,1968.26507834979,49.1715985694248,5262.18598827697,5235.04488575881,1090.95227311828,2218.24493153355,1085.57464421233,4754.95984662263,4516.93648399314,1392.37733850208,5266.40437762162,4752.5561780984,1784.49278421449,1766.86043827959,668.155931542204,2197.43506432553,2310.97932482218,2378.81808787307,590.615183149208,1608.82854471397,2012.68393743526,918.939929554934,571.312508521246,1391.79361353132,2464.66481475451,1645.37142195116,4254.77630175692,2056.91607734486,1268.132416164,4198.66302171888,1476.77859202175,1508.96160189218,971.71964950641
"Channel Island",4494.15154786012,7613.88494277312,1024.00433679822,1817.46368038624,1620.08683587738,3888.33833668123,1165.26452409889,764.108842535914,972.075656135609,875.803608340317,1412.00050063807,0,3552.51485410714,1018.33725960148,3409.34673641714,342.564527921902,3902.77225721556,3677.69256278424,3824.56739699716,4331.97836414501,2662.59247126689,1702.84908516995,3019.79853907701,701.925416691895,1311.33389329215,717.081964289083,1320.75461778365,3269.4989332772,1378.64782687482,3896.28192217622,3885.82227857867,2422.46842052995,3000.02563065249,326.471889842324,3783.52595433381,3621.93012127049,319.468910169707,4513.4524176356,3857.9277065596,742.618466006764,3024.35136021107,1050.31205168035,1439.26184835286,1638.15625256899,1587.27170667102,892.329209426575,316.487733469765,904.081876199159,1416.13206276185,854.641353643316,276.806887336249,3693.49869410458,1968.30935283519,5666.59347884121,2722.27716591743,1739.61401366761,3410.17456255339,1403.10248875446,423.919660407434,682.376745507583
"Congare",1596.4329500387,10872.0050715519,2633.26521585841,2178.34426474299,2187.83170518698,903.732552701438,2471.72025280288,2860.13382194801,2662.51918372562,2771.10872359951,2214.06370536299,3552.51485410714,0,3711.14073617356,830.751002885749,3282.0540899483,5707.89126286595,1034.27156079737,937.868974949192,5845.82495840924,1002.03233660137,3206.62817756742,4936.27820006085,2864.35427838551,2813.74074418842,3044.74976263597,2272.15834871885,328.397225233727,2259.35567053095,7447.63734321097,7431.22467056975,1133.82532087264,1717.43205704922,3236.56384554803,5982.57103805485,5666.08121609688,3429.80215281155,6099.97665420117,5867.86981662187,3661.232228302,612.509353840962,2533.65802020701,3720.96814278622,3714.83416969353,3869.24027190399,2660.21141983343,3665.74846133211,3868.33630731776,2314.88182205649,2772.55718149656,3445.76612683432,570.565141105027,2404.00221466883,2340.84615207533,1919.38261647324,2243.95156613005,5250.64947402938,2813.7230481369,3503.3132813897,2937.95298652317
"Crater Lak",4270.9000305544,8037.96302886785,1156.70634661737,1588.06418605653,2268.13099688961,4260.20671424778,1305.55977817293,1032.18753497989,1155.61764612469,1063.49598895799,1958.75012452488,1018.33725960148,3711.14073617356,0,3327.54166146561,870.806311293518,2910.62938911553,4110.46660894392,4215.18900905006,3323.77512532822,2718.75473826821,904.426529626941,2015.44024307946,1146.28202790027,919.860701245874,789.773239315338,1520.48347065217,3391.10187206365,1948.1160483042,4012.69959587476,4050.89475771633,2677.58925218162,2660.80008395947,1150.35151628409,2850.06666879119,2653.7604646412,746.142690260811,3513.26264120112,2891.8238124971,276.507946637869,3112.45188464372,1323.3402320451,435.394530694283,644.007061978767,569.634214867954,1376.62955501105,721.74995058501,240.5487203053,1401.92444900539,1564.40858346476,779.881998251252,3685.89594016918,1534.00313234335,6001.12412620745,2341.38437705554,1510.45370510062,2409.26376413904,951.14461999659,608.774036684464,992.631211369788
"Cuyahoga Valle",1143.19948610721,10970.3949489463,2400.42916730422,1739.80016807512,2370.42750299209,1734.48355249989,2248.75075891321,2655.38659239047,2445.57438033233,2549.46939850115,2270.02093712928,3409.34673641714,830.751002885749,3327.54166146561,0,3094.40098590561,4987.53727073391,1846.22359171048,1766.65490890619,5086.24511962194,792.873448832443,2668.5604646768,4268.13423656701,2709.42378920209,2408.09845490046,2786.85038330339,2090.84630333337,640.874386678486,2319.17801350895,7258.64392918686,7267.25779011151,1255.82207020942,942.13203545313,3124.97018344291,5309.75529040356,4981.46585738895,3217.26159713836,5341.13434089301,5170.14790796018,3339.87165116419,597.808373448673,2360.10339437658,3244.67514590263,3196.53877920851,3369.17520720731,2554.67310864093,3448.11989209832,3520.52125179977,2022.9440343909,2755.27780001212,3242.63207307164,406.706201692623,1857.90471521521,3003.34024210714,1202.91569707046,1818.37918376443,4554.31319239876,2380.09454665537,3258.40631128466,2737.92836945969
"Death Valle",4166.60278352526,7949.76696565874,695.980429380256,1476.81861292973,1487.16723546991,3676.44717303248,845.728693262954,439.016699830632,648.850950886903,546.480218853396,1225.85558641652,342.564527921902,3282.0540899483,870.806311293518,3094.40098590561,0,3779.74142450999,3483.74742973511,3618.04606004727,4184.14581362945,2363.32967082163,1414.05449733386,2881.09210867917,421.597687537285,977.113652562955,376.77876715945,1019.74579405208,2988.80593234251,1201.41266233243,4182.83804637936,4180.9953014068,2163.0512478094,2659.71100960376,284.475477331317,3714.10575130586,3524.15659112101,166.945747255935,4378.95331120061,3762.1393501935,624.747018296861,2734.74223942021,751.293783109659,1247.46046571307,1429.55387441855,1413.87367221629,650.426995709728,390.400117726217,839.011709988499,1084.88320804312,731.028308166758,168.315224197263,3391.61228147082,1627.17030545323,5452.35592130269,2380.15731399277,1398.4701237103,3275.96143228033,1071.31710247834,296.609908956749,356.512825638206
"Denal",5364.84469531944,8776.00850443188,3853.28183225688,3722.38809444283,5050.50800303348,6513.80494403504,3947.93407135664,3843.83172407294,3882.74560284382,3827.52220057294,4711.35586342698,3902.77225721556,5707.89126286595,2910.62938911553,4987.53727073391,3779.74142450999,0,6473.2385348661,6503.16038625951,512.629049784096,4790.14532123145,2730.54446304171,905.966490354064,3992.1599282831,3327.42009215147,3616.15770103568,4129.2803730169,5393.69121549355,4716.22220034634,4752.50510607509,4894.57107380875,5029.18039627123,4046.86060858162,4060.85181801302,590.637608853279,382.664134843357,3655.3793978539,621.230614774361,303.834866504196,3173.7863083405,5126.94226816459,4044.89943916086,2553.76179740635,2409.36949111526,2376.72408050593,4191.01637189837,3587.95232144628,2998.98990238559,3876.84476587934,4436.69979425397,3687.23862708338,5391.5839333582,3397.04706398085,7990.71253264915,3797.52544724822,3690.54263547339,512.891451792342,3262.9404266434,3515.65127561896,3832.40121350288
"Dry Tortuga",2559.71900476486,10448.7596125417,2956.06638756175,2772.98945299748,2084.53260364336,303.162597753513,2804.91613311302,3124.32637236804,2963.90738379327,3064.71987136148,2267.63082661422,3677.69256278424,1034.27156079737,4110.46660894392,1846.22359171048,3483.74742973511,6473.2385348661,0,210.263303304533,6671.98977198805,1699.0461700483,3814.551118044,5640.39586656833,3070.46391990306,3305.93824373079,3350.55979399112,2589.98319381241,1226.60620835913,2299.31319600447,7454.6983843341,7407.09396584521,1472.0975222747,2652.06236584934,3351.79251523945,6672.62664318174,6378.90754195614,3648.12398190969,6922.15400186025,6596.58531471236,3990.5565176647,1424.98842375992,2803.22310495183,4228.5897563877,4272.17392019775,4397.31774186534,2834.15782001891,3871.58032055413,4215.61284267516,2744.1413330672,2825.92461743962,3651.59935321519,1599.25016275765,3078.77732820883,2002.87573816858,2790.70337337,2817.76167691091,5987.9490440818,3336.06126701859,3754.00414910211,3188.15408564284
"Everglade",2403.82867069884,10656.9713998243,3066.38157947948,2829.07713993695,2248.57581227286,92.9575827063642,2911.91055067695,3246.01376399489,3077.96340874333,3181.00375274199,2412.56715932536,3824.56739699716,937.868974949192,4215.18900905006,1766.65490890619,3618.04606004727,6503.16038625951,210.263303304533,0,6683.71865199541,1713.60596807107,3875.64579023673,5685.19407727324,3201.03609601927,3387.98225789997,3467.07283434573,2697.17967644814,1175.19378592161,2446.64932341513,7627.56641505688,7583.41896790905,1549.36517278682,2614.92633162802,3498.13140286116,6723.33093059521,6423.0993056748,3780.86095618034,6935.54299053139,6636.95831893274,4107.04571676717,1403.50810488085,2921.04248472203,4313.09566259097,4346.57749745922,4478.41510903828,2967.62035013144,4007.51500535382,4330.13352467809,2833.08518084179,2977.03654085966,3786.29893198255,1484.81405409872,3119.67054709643,1842.97993500374,2776.39679113905,2878.75947948954,6024.75312039943,3412.28520212671,3882.23502846082,3312.64446220608
"Gates of the Arcti",5342.72633689088,9205.54984583785,4192.51473155493,3971.09533964331,5385.10608719222,6686.22554960605,4273.21716356815,4208.79569622291,4227.32759745012,4181.68533401862,5042.69348724121,4331.97836414501,5845.82495840924,3323.77512532822,5086.24511962194,4184.14581362945,512.629049784096,6671.98977198805,6683.71865199541,0,4974.37047916869,3034.01898716033,1312.73066173034,4363.75182818333,3645.38922106787,3990.31699812086,4441.7361691827,5542.73132636297,5051.84945533738,5233.15087581987,5379.29367792106,5260.44429354842,4146.10993328619,4467.87867445831,1037.81934795472,894.008568923837,4069.56449284058,254.896513116426,759.21617812781,3593.87180533415,5287.52245013135,4383.57364966639,2940.94167182103,2777.50409841123,2770.52558928217,4549.50490088911,4020.47447784347,3432.98777004062,4174.18257391391,4811.99272685293,4103.65699335441,5482.93514057505,3626.83469945113,8073.07012775222,3926.75769307402,3948.75026484383,928.926813312238,3572.04303951128,3932.44804074886,4205.1574535478
